date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
20220104,C,2667.14,c2201,2618.0,c2205,2702.0,2201,2205,-49.13999999999987,34.86000000000013,-0.0184242296992283,0.0130701800430423
20220105,C,2671.43,c2201,2634.0,c2205,2711.0,2201,2205,-37.42999999999984,39.57000000000016,-0.0140112224538916,0.0148122915442292
20220106,C,2668.57,c2201,2635.0,c2205,2676.0,2201,2205,-33.570000000000164,7.429999999999836,-0.0125797711883144,0.0027842627324745
20220107,C,2670.0,c2201,2632.0,c2205,2682.0,2201,2205,-38.0,12.0,-0.0142322097378276,0.0044943820224718
20220110,C,2667.14,c2201,2635.0,c2205,2687.0,2201,2205,-32.13999999999987,19.860000000000127,-0.0120503610609116,0.0074461783033512
20220111,C,2667.14,c2201,2630.0,c2205,2696.0,2201,2205,-37.13999999999987,28.860000000000127,-0.0139250283074753,0.0108205793471658
20220112,C,2667.14,c2201,2648.0,c2205,2720.0,2201,2205,-19.13999999999988,52.86000000000013,-0.0071762262198459,0.0198189821306717
20220113,C,2667.14,c2201,2652.0,c2205,2719.0,2201,2205,-15.139999999999873,51.86000000000013,-0.0056764924225949,0.0194440486813591
20220114,C,2667.14,c2201,2625.0,c2205,2735.0,2201,2205,-42.13999999999987,67.86000000000013,-0.0157996955540391,0.0254429838703631
20220117,C,2667.14,c2201,2629.0,c2205,2721.0,2201,2205,-38.13999999999987,53.86000000000013,-0.0142999617567881,0.0201939155799846
20220118,C,2667.14,c2203,2685.0,c2205,2719.0,2203,2205,17.860000000000127,51.86000000000013,0.0066963114047258,0.0194440486813591
20220119,C,2668.57,c2203,2694.0,c2205,2733.0,2203,2205,25.42999999999984,64.42999999999984,0.0095294483562355,0.0241440172077178
20220120,C,2671.43,c2203,2712.0,c2205,2756.0,2203,2205,40.57000000000016,84.57000000000016,0.015186622894854,0.0316572023223518
20220121,C,2671.43,c2203,2701.0,c2205,2736.0,2203,2205,29.570000000000164,64.57000000000016,0.0110689780379797,0.0241705753098528
20220124,C,2671.43,c2203,2698.0,c2205,2732.0,2203,2205,26.570000000000164,60.57000000000016,0.0099459839861049,0.0226732499073529
20220125,C,2672.86,c2203,2721.0,c2205,2758.0,2203,2205,48.13999999999987,85.13999999999987,0.0180106702184177,0.031853520199337
20220126,C,2672.86,c2203,2737.0,c2205,2775.0,2203,2205,64.13999999999987,102.13999999999989,0.0239967675074639,0.0382137485689486
20220127,C,2672.86,c2203,2728.0,c2205,2768.0,2203,2205,55.13999999999987,95.13999999999989,0.0206295877823754,0.0355948310049909
20220128,C,2672.86,c2203,2722.0,c2205,2763.0,2203,2205,49.13999999999987,90.13999999999989,0.0183848012989831,0.033724175602164
20220207,C,2670.0,c2203,2703.0,c2205,2749.0,2203,2205,33.0,79.0,0.0123595505617977,0.0295880149812735
20220208,C,2670.0,c2203,2745.0,c2205,2791.0,2203,2205,75.0,121.0,0.0280898876404493,0.0453183520599251
20220209,C,2668.57,c2203,2723.0,c2205,2775.0,2203,2205,54.42999999999984,106.42999999999984,0.0203966918611839,0.0398827836631603
20220210,C,2671.43,c2203,2725.0,c2205,2788.0,2203,2205,53.57000000000016,116.57000000000016,0.0200529304529784,0.04363580554235
20220211,C,2670.0,c2203,2700.0,c2205,2766.0,2203,2205,30.0,96.0,0.0112359550561798,0.0359550561797752
20220214,C,2670.0,c2203,2701.0,c2205,2774.0,2203,2205,31.0,104.0,0.0116104868913857,0.0389513108614232
20220215,C,2670.0,c2203,2691.0,c2205,2770.0,2203,2205,21.0,100.0,0.0078651685393258,0.0374531835205993
20220216,C,2672.86,c2203,2677.0,c2205,2765.0,2203,2205,4.139999999999873,92.13999999999989,0.0015489026735406,0.0344724377632947
20220217,C,2672.86,c2203,2688.0,c2205,2777.0,2203,2205,15.139999999999873,104.13999999999989,0.0056643445597599,0.0389620107300794
20220218,C,2677.14,c2203,2688.0,c2205,2773.0,2203,2205,10.860000000000127,95.86000000000011,0.0040565678298483,0.0358068685238726
20220221,C,2681.43,c2203,2682.0,c2205,2763.0,2203,2205,0.5700000000001637,81.57000000000016,0.0002125731419428,0.0304203354180419
20220222,C,2681.43,c2203,2688.0,c2205,2785.0,2203,2205,6.570000000000164,103.57000000000016,0.0024501851623948,0.0386249128263651
20220223,C,2678.57,c2203,2690.0,c2205,2805.0,2203,2205,11.429999999999836,126.42999999999984,0.0042672022758412,0.0472005585069643
20220224,C,2678.57,c2203,2718.0,c2205,2837.0,2203,2205,39.42999999999984,158.42999999999984,0.0147205411842885,0.0591472315451901
20220225,C,2681.43,c2203,2733.0,c2205,2848.0,2203,2205,51.57000000000016,166.57000000000016,0.0192322753157829,0.0621198390411086
20220228,C,2688.57,c2203,2724.0,c2205,2856.0,2203,2205,35.42999999999984,167.42999999999984,0.0131780091275286,0.0622747408473649
20220301,C,2688.57,c2203,2750.0,c2205,2874.0,2203,2205,61.42999999999984,185.42999999999984,0.0228485774965874,0.0689697497182515
20220302,C,2711.43,c2203,2750.0,c2205,2885.0,2203,2205,38.57000000000016,173.57000000000016,0.014224966161767,0.0640141917733447
20220303,C,2734.29,c2203,2780.0,c2205,2893.0,2203,2205,45.71000000000004,158.71000000000004,0.0167173196698229,0.0580443186348191
20220304,C,2742.86,c2203,2750.0,c2205,2886.0,2203,2205,7.139999999999873,143.13999999999987,0.0026031222884141,0.0521864039724957
20220307,C,2758.57,c2203,2800.0,c2205,2923.0,2203,2205,41.42999999999984,164.42999999999984,0.0150186509677114,0.0596069702780788
20220308,C,2765.71,c2203,2760.0,c2205,2893.0,2203,2205,-5.710000000000036,127.28999999999996,-0.0020645693149318,0.0460243481782254
20220309,C,2765.71,c2203,2759.0,c2205,2888.0,2203,2205,-6.710000000000036,122.28999999999996,-0.002426140123151,0.0442164941371292
20220310,C,2762.86,c2203,2757.0,c2205,2842.0,2203,2205,-5.860000000000127,79.13999999999987,-0.002120990567745,0.0286442309780443
20220311,C,2757.14,c2203,2757.0,c2205,2860.0,2203,2205,-0.1399999999998726,102.86000000000011,-5.077725469138095e-05,0.0373067744111652
20220314,C,2758.57,c2203,2790.0,c2205,2855.0,2203,2205,31.42999999999984,96.42999999999984,0.0113935843571124,0.0349565173260058
20220315,C,2758.57,c2205,2843.0,c2205,2843.0,2205,2205,84.42999999999984,84.42999999999984,0.030606437393287,0.030606437393287
20220316,C,2761.43,c2205,2863.0,c2205,2863.0,2205,2205,101.57000000000016,101.57000000000016,0.0367816674693908,0.0367816674693908
20220317,C,2761.43,c2205,2854.0,c2205,2854.0,2205,2205,92.57000000000016,92.57000000000016,0.0335224865377721,0.0335224865377721
20220318,C,2761.43,c2205,2889.0,c2205,2889.0,2205,2205,127.57000000000016,127.57000000000016,0.0461970790496228,0.0461970790496228
20220321,C,2760.0,c2205,2885.0,c2205,2885.0,2205,2205,125.0,125.0,0.0452898550724638,0.0452898550724638
20220322,C,2761.43,c2205,2896.0,c2205,2896.0,2205,2205,134.57000000000016,134.57000000000016,0.048731997551993,0.048731997551993
20220323,C,2761.43,c2205,2906.0,c2205,2906.0,2205,2205,144.57000000000016,144.57000000000016,0.052353309698236,0.052353309698236
20220324,C,2761.43,c2205,2902.0,c2205,2902.0,2205,2205,140.57000000000016,140.57000000000016,0.0509047848397388,0.0509047848397388
20220325,C,2762.86,c2205,2887.0,c2205,2887.0,2205,2205,124.13999999999989,124.13999999999989,0.0449317012081682,0.0449317012081682
20220328,C,2762.86,c2205,2863.0,c2205,2863.0,2205,2205,100.13999999999989,100.13999999999989,0.0362450504187688,0.0362450504187688
20220329,C,2764.29,c2205,2855.0,c2205,2855.0,2205,2205,90.71000000000004,90.71000000000004,0.0328149362042333,0.0328149362042333
20220330,C,2767.14,c2205,2842.0,c2205,2842.0,2205,2205,74.86000000000013,74.86000000000013,0.0270532029460019,0.0270532029460019
20220331,C,2767.14,c2205,2840.0,c2205,2840.0,2205,2205,72.86000000000013,72.86000000000013,0.0263304350340063,0.0263304350340063
20220401,C,2767.14,c2205,2834.0,c2205,2834.0,2205,2205,66.86000000000013,66.86000000000013,0.0241621312980189,0.0241621312980189
20220406,C,2765.71,c2205,2869.0,c2209,2959.0,2205,2209,103.28999999999996,193.29,0.0373466487809639,0.0698880215206945
20220407,C,2765.71,c2205,2866.0,c2209,2951.0,2205,2209,100.28999999999996,185.29,0.0362619363563063,0.0669954550549407
20220408,C,2772.86,c2205,2846.0,c2209,2924.0,2205,2209,73.13999999999987,151.13999999999987,0.0263770980143245,0.0545068990140142
20220411,C,2771.43,c2205,2837.0,c2209,2914.0,2205,2209,65.57000000000016,142.57000000000016,0.0236592661550174,0.0514427569882696
20220412,C,2775.71,c2205,2837.0,c2209,2919.0,2205,2209,61.28999999999997,143.28999999999996,0.0220808369750442,0.0516228280331878
20220413,C,2775.71,c2205,2833.0,c2209,2917.0,2205,2209,57.28999999999997,141.28999999999996,0.0206397642405005,0.050902291665916
20220414,C,2775.71,c2205,2859.0,c2209,2949.0,2205,2209,83.28999999999996,173.28999999999996,0.0300067370150338,0.0624308735422649
20220415,C,2775.71,c2205,2875.0,c2209,2970.0,2205,2209,99.28999999999996,194.29,0.0357710279532084,0.0699965053986186
20220418,C,2775.71,c2205,2870.0,c2209,2967.0,2205,2209,94.28999999999996,191.29,0.0339696870350287,0.068915700847711
20220419,C,2775.71,c2205,2887.0,c2209,2991.0,2205,2209,111.28999999999996,215.29,0.0400942461568392,0.0775621372549726
20220420,C,2775.71,c2205,2902.0,c2209,3008.0,2205,2209,126.28999999999996,232.29,0.0454982689113776,0.0836866963767828
20220421,C,2778.57,c2205,2909.0,c2209,3014.0,2205,2209,130.42999999999984,235.42999999999984,0.0469414123092093,0.0847306348229484
20220422,C,2781.43,c2205,2877.0,c2209,2985.0,2205,2209,95.57000000000016,203.57000000000016,0.0343600234411796,0.0731889711407443
20220425,C,2784.29,c2205,2859.0,c2209,2967.0,2205,2209,74.71000000000004,182.71000000000004,0.0268326934335145,0.0656217563544028
20220426,C,2794.29,c2205,2878.0,c2209,2994.0,2205,2209,83.71000000000004,199.71000000000004,0.0299575205150504,0.071470749277992
20220427,C,2795.71,c2205,2871.0,c2209,2986.0,2205,2209,75.28999999999996,190.29,0.0269305471597554,0.0680649995886555
20220428,C,2795.71,c2205,2906.0,c2209,3030.0,2205,2209,110.28999999999996,234.29,0.0394497283337684,0.0838033987788433
